CONTROL,JAMMORT,JHELOCADD,JHELOCBAL,JHELOCLIM,JINTRATE,JLOANTYPE,JMISCPMT,JMORTADDTN,JMORTCLASS,JMORTLINE,JMORTTYPE,JPMTAMT,JPMTFREQ,JPMTONLY,JREFI,JREFICSH,JREFICSHAMT,JTAXPMT,AMMORT,REFI,MORTCLASS,MORTTYPE,TAXPMT,PMTONLY,MORTLINE,REFICSHAMT,MORTADDTN,HELOCLIM,REFICSH,HELOCBAL,HELOCADD,PMTFREQ,LOANTYPE,MISCPMT,PMTAMT,INTRATE
'11000055','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',162517,'1','1','1','1',957,1,-6,-6,-6,'2','-6','-6','1','1','1',1607,3.345
'11000068','2','0','0','0','2','0','0','0','1','2','1','1','0','2','0','0','0','0',221277,'-9','1','1','-9',1036,1,-6,-6,-6,'-6','-6','-6','-9','1','2',987,3.967
'11000078','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',189572,'2','1','1','1',870,1,-6,-6,-6,'-6','-6','-6','1','1','1',1612,3.128
'11000089','2','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0',303400,'1','1','1','1',1989,1,-6,-6,-6,'2','-6','-6','1','1','1',1883,2.483
'11000126','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',566118,'2','1','1','1',2224,1,-6,-6,-6,'-6','-6','-6','1','1','1',2316,2.649
'11000132','2','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0',250020,'1','1','1','1',2364,1,-6,-6,-6,'2','-6','-6','1','1','1',1491,5.654
'11000135','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',1167908,'2','1','1','1',5221,1,-6,-6,-6,'-6','-6','-6','1','1','1',6766,2.777
'11000161','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',424814,'2','1','1','1',1649,1,-6,-6,-6,'-6','-6','-6','1','1','1',3025,2.246
'11000168','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',59551,'2','1','1','2',461,1,-6,-6,-6,'-6','-6','-6','1','1','2',445,3.95
'11000170','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',216715,'1','1','1','1',1263,1,-6,-6,-6,'2','-6','-6','1','1','1',1560,4.165
'11000171','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',157582,'2','1','1','1',698,1,-6,-6,-6,'-6','-6','-6','1','1','2',549,1.804
'11000180','2','0','0','0','2','0','0','0','0','0','0','0','0','2','0','0','0','0',242758,'2','1','1','2',1174,1,-6,-6,-6,'-6','-6','-6','1','1','1',292,3.897
'11000192','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',463239,'2','1','1','1',2591,1,-6,-6,-6,'-6','-6','-6','1','1','2',2770,4.708
'11000203','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0',111890,'2','1','1','1',555,1,-6,-6,-6,'-6','-6','-6','1','1','1',707,4.64
'11000212','2','0','0','0','2','0','0','0','1','2','1','1','0','2','0','0','0','0',190584,'-9','1','1','-9',1372,1,-6,-6,-6,'-6','-6','-6','-9','1','2',1449,3.5
