CONTROL,JJOBCOMP,JJOBCOMPYR,JJOBCOST,JJOBDIY,JJOBFUNDS,JJOBTYPE,JJOBWORKYR,JOBTYPE,JOBDIY,JOBCOST,JOBCOMP,JOBCOMPYR,JOBWORKYR,JOBFUNDS
'11000005','0','0','0','0','0','0','0','35','1',500,'1','2','-6','1'
'11000006','0','0','0','0','0','0','0','16','2',16000,'1','3','-6','4'
'11000006','0','0','0','0','0','0','0','26','2',4000,'1','1','-6','7'
'11000013','0','0','0','0','0','0','0','36','2',7500,'1','3','-6','1'
'11000013','0','0','0','0','0','0','0','37','2',1500,'1','3','-6','1'
'11000016','0','0','0','0','0','0','0','24','1',1800,'1','2','-6','1'
'11000016','0','0','2','0','0','0','0','30','1',710,'1','2','-6','1'
'11000016','0','0','0','0','0','0','0','32','2',750,'1','3','-6','1'
'11000068','0','0','0','0','0','0','0','29','1',800,'1','2','-6','1'
'11000078','0','0','0','0','0','0','0','12','2',800,'1','1','-6','1'
'11000120','0','0','0','0','0','0','0','16','2',9000,'2','-6','3','1'
'11000120','0','0','0','0','0','0','0','24','1',630,'1','2','-6','1'
'11000126','0','0','0','0','0','0','0','09','2',31100,'1','1','-6','1'
'11000126','0','0','0','0','0','0','0','12','2',15000,'1','1','-6','1'
'11000126','0','0','0','0','0','0','0','13','2',15000,'1','1','-6','1'
'11000126','0','0','0','0','0','0','0','16','2',19000,'1','3','-6','4'
'11000126','0','0','0','0','0','0','0','22','2',250,'1','1','-6','1'
'11000126','0','0','0','0','0','0','0','24','1',200,'1','1','-6','1'
'11000126','0','0','0','0','0','0','0','25','2',15000,'1','1','-6','1'
'11000133','0','0','0','0','0','0','0','25','2',5000,'1','1','-6','1'
'11000136','0','0','0','0','0','0','0','18','2',13800,'1','2','-6','1'
'11000149','0','0','0','0','0','0','0','16','2',8000,'1','1','-6','1'
'11000149','0','0','2','0','0','0','0','18','1',540,'1','1','-6','1'
'11000149','0','0','2','0','0','0','0','22','1',210,'1','1','-6','1'
'11000149','0','0','2','0','0','0','0','25','1',860,'1','1','-6','1'
'11000170','0','0','0','0','0','0','0','15','2',15000,'1','2','-6','1'
'11000170','0','0','0','0','0','0','0','24','2',300,'1','1','-6','1'
'11000170','0','0','0','0','0','0','0','32','2',5000,'1','2','-6','1'
'11000192','0','0','0','0','0','0','0','23','2',1800,'1','3','-6','1'
'11000192','0','0','0','0','0','0','0','24','1',300,'1','3','-6','1'
'11000203','0','0','0','0','0','0','0','22','1',500,'1','2','-6','1'
'11000203','0','0','2','0','0','0','0','25','1',1200,'1','2','-6','5'
'11000203','0','0','0','0','0','0','0','26','2',4500,'1','3','-6','1'
'11000203','0','0','2','0','0','0','0','27','2',4200,'1','3','-6','1'
'11000203','0','0','2','0','0','0','0','28','2',3900,'1','1','-6','1'
'11000203','0','0','0','0','0','0','0','32','2',300,'1','1','-6','1'
'11000203','0','0','2','0','0','0','0','33','2',3600,'1','1','-6','1'
'11000203','0','0','0','0','0','0','0','35','1',1400,'1','2','-6','7'
'11000207','0','0','0','0','0','0','0','18','1',500,'1','2','-6','1'
'11000207','0','0','0','0','0','0','0','22','2',650,'1','1','-6','1'
'11000207','0','0','0','0','0','0','0','24','1',500,'1','2','-6','1'
'11000207','0','0','0','0','0','0','0','25','1',1200,'1','2','-6','1'
'11000207','0','0','0','0','0','0','0','29','1',400,'1','1','-6','1'
'11000216','0','0','0','0','0','0','0','13','2',2000,'1','3','-6','1'
'11000235','0','0','2','0','0','0','0','24','2',820,'1','1','-6','1'
'11000244','0','0','0','0','0','0','0','27','2',0,'1','2','-6','7'
'11000248','0','0','0','0','0','0','0','20','1',350,'1','1','-6','1'
'11000248','0','0','0','0','0','0','0','21','1',800,'1','2','-6','1'
'11000248','0','0','0','0','0','0','0','23','1',750,'1','2','-6','1'
'11000248','0','0','2','0','0','0','0','27','1',1700,'1','1','-6','1'
'11000248','0','0','0','0','0','0','0','29','1',500,'1','2','-6','1'
'11000252','0','0','0','0','0','0','0','16','2',5000,'1','1','-6','4'
'11000252','0','0','0','0','0','0','0','26','2',7000,'1','2','-6','1'
'11000252','0','0','0','0','0','0','0','27','2',7000,'1','2','-6','1'
'11000252','0','0','0','0','0','0','0','30','1',300,'1','2','-6','1'
'11000252','0','0','0','0','0','0','0','35','1',600,'1','2','-6','1'
'11000254','0','0','0','0','0','0','0','26','1',3000,'1','1','-6','1'
'11000254','0','0','0','0','0','0','0','27','1',0,'1','1','-6','1'
'11000257','0','0','0','0','0','0','0','13','2',1500,'2','-6','3','1'
'11000266','0','0','0','0','0','0','0','13','2',7000,'1','2','-6','1'
'11000266','0','0','0','0','0','0','0','30','2',4400,'1','2','-6','1'
'11000267','0','0','0','0','0','0','0','12','1',200,'1','2','-6','1'
'11000267','0','0','0','0','0','0','0','22','2',200,'1','2','-6','1'
'11000287','0','0','0','0','0','0','0','12','2',20000,'1','2','-6','1'
'11000287','0','0','0','0','0','0','0','13','2',12000,'1','3','-6','1'
'11000287','0','0','0','0','0','0','0','25','2',4200,'1','3','-6','1'
'11000312','0','0','0','0','0','0','0','23','2',500,'1','2','-6','5'
'11000312','0','0','0','0','0','0','0','26','2',3500,'1','2','-6','5'
'11000312','0','0','0','0','0','0','0','27','2',3500,'1','2','-6','5'
'11000312','0','0','0','0','0','0','0','36','2',400,'1','2','-6','1'
'11000312','0','0','0','0','0','0','0','37','2',1500,'1','2','-6','1'
'11000323','0','0','0','0','0','0','0','33','2',850,'1','3','-6','1'
'11000329','0','0','2','0','0','0','0','12','2',11400,'1','1','-6','1'
'11000329','0','0','2','0','0','0','0','24','2',930,'1','1','-6','1'
'11000329','0','0','0','0','0','0','0','27','2',1500,'1','1','-6','1'
'11000329','0','0','2','0','0','0','0','29','2',1900,'1','1','-6','1'
'11000329','0','0','2','0','0','0','0','32','2',4900,'1','1','-6','1'
'11000337','0','0','0','0','0','0','0','30','1',540,'1','2','-6','1'
'11000344','0','0','2','0','0','0','0','12','1',350,'1','2','-6','1'
'11000344','0','0','2','0','0','0','0','22','1',50,'1','2','-6','1'
'11000344','0','0','2','0','0','0','0','23','1',50,'1','2','-6','1'
'11000345','0','0','0','0','0','0','0','15','1',2000,'1','2','-6','1'
'11000345','0','0','0','0','0','0','0','22','1',700,'1','2','-6','1'
'11000345','0','0','2','0','0','0','0','01','1',5000,'1','2','-6','1'
'11000353','0','0','0','0','0','0','0','15','2',3000,'1','1','-6','1'
'11000353','0','0','0','0','0','0','0','30','2',300,'1','2','-6','1'
'11000353','0','0','0','0','0','0','0','36','2',5500,'1','2','-6','1'
'11000370','0','0','0','0','0','0','0','12','2',5000,'2','-6','2','1'
'11000370','0','0','0','0','0','0','0','18','2',1000,'1','2','-6','1'
'11000370','0','0','0','0','0','0','0','21','2',5000,'2','-6','2','1'
'11000370','0','0','0','0','0','0','0','22','2',5000,'2','-6','2','1'
'11000370','0','0','0','0','0','0','0','23','2',80,'1','2','-6','1'
'11000371','0','0','0','0','0','0','0','29','2',1000,'1','2','-6','1'
'11000371','0','0','0','0','0','0','0','33','2',2400,'1','2','-6','1'
'11000373','0','0','0','0','0','0','0','02','2',8000,'1','1','-6','4'
'11000374','0','0','0','0','0','0','0','19','2',12000,'1','1','-6','1'
'11000380','0','0','2','0','0','0','0','16','1',5000,'1','3','-6','1'
'11000380','0','0','0','0','0','0','0','29','1',750,'1','3','-6','1'
'11000382','0','0','0','0','0','0','0','19','1',500,'2','-6','3','1'
'11000382','0','0','0','0','0','0','0','33','1',300,'1','3','-6','1'
'11000388','0','0','0','0','0','0','0','29','2',1700,'1','3','-6','1'
'11000397','0','0','0','0','0','0','0','16','2',2900,'1','3','-6','1'
'11000399','0','0','2','0','0','0','0','14','1',220,'1','1','-6','5'
'11000399','0','0','2','0','0','0','0','19','2',450,'1','1','-6','1'
'11000399','0','0','2','0','0','0','0','36','1',100,'1','3','-6','5'
'11000399','0','0','2','0','0','0','0','06','2',2200,'1','2','-6','5'
'11000399','0','0','2','0','0','0','0','37','1',90,'1','2','-6','1'
'11000400','0','0','0','0','0','0','0','12','2',0,'1','2','-6','7'
'11000400','0','0','0','0','0','0','0','22','2',0,'1','2','-6','7'
'11000400','0','0','0','0','0','0','0','29','2',100,'1','2','-6','7'
'11000400','0','0','0','0','0','0','0','37','2',1200,'1','2','-6','1'
'11000400','0','0','0','0','0','0','0','37','2',0,'1','2','-6','1'
'11000401','0','0','0','0','0','0','0','16','1',30000,'1','2','-6','1'
'11000401','0','0','0','0','0','0','0','18','1',500,'1','2','-6','1'
'11000401','0','0','0','0','0','0','0','24','1',300,'1','1','-6','1'
'11000401','0','0','0','0','0','0','0','30','2',1700,'1','2','-6','1'
'11000402','0','0','0','0','0','0','0','22','1',100,'1','2','-6','1'
'11000402','0','0','0','0','0','0','0','25','1',4000,'1','2','-6','1'
'11000402','0','0','0','0','0','0','0','31','2',1900,'1','1','-6','7'
'11000432','0','0','0','0','0','0','0','16','1',7000,'1','2','-6','4'
'11000454','0','0','0','0','0','0','0','18','1',3000,'1','2','-6','1'
'11000454','0','0','0','0','0','0','0','22','1',100,'1','3','-6','1'
'11000454','0','0','0','0','0','0','0','23','2',1500,'1','1','-6','1'
'11000454','0','0','0','0','0','0','0','26','2',7000,'1','2','-6','1'
'11000454','0','0','0','0','0','0','0','27','2',0,'1','2','-6','1'
'11000454','0','0','0','0','0','0','0','33','2',3000,'1','2','-6','1'
'11000454','0','0','0','0','0','0','0','36','2',1500,'1','3','-6','1'
'11000455','0','0','0','0','0','0','0','22','2',150,'1','3','-6','1'
'11000455','0','0','0','0','0','0','0','29','2',1600,'1','3','-6','1'
'11000455','0','0','0','0','0','0','0','33','2',300,'1','2','-6','1'
'11000456','0','0','0','0','0','0','0','25','2',5500,'1','3','-6','1'
'11000456','0','0','0','0','0','0','0','26','2',3500,'2','-6','3','1'
'11000456','0','0','0','0','0','0','0','27','2',3500,'2','-6','3','1'
'11000456','0','0','0','0','0','0','0','36','2',1500,'1','2','-6','1'
'11000467','0','0','0','0','0','0','0','37','2',1200,'1','3','-6','1'
'11000472','0','0','0','0','0','0','0','22','2',200,'1','2','-6','1'
'11000472','0','0','0','0','0','0','0','36','2',200,'1','3','-6','1'
'11000480','0','0','0','0','0','0','0','24','2',500,'1','3','-6','1'
'11000498','0','0','0','0','0','0','0','22','2',50,'1','1','-6','1'
'11000499','0','0','0','0','0','0','0','22','1',100,'1','3','-6','1'
'11000499','0','0','2','0','0','0','0','28','2',11000,'1','1','-6','1'
'11000503','0','0','0','0','0','0','0','16','2',3000,'1','1','-6','1'
'11000504','0','0','0','0','0','0','0','06','2',10000,'1','2','-6','2'
'11000510','0','0','0','0','0','0','0','27','2',900,'1','2','-6','1'
'11000512','0','0','0','0','0','0','0','07','1',1200,'1','3','-6','1'
'11000512','0','0','0','0','0','0','0','18','1',200,'1','3','-6','1'
'11000512','0','0','0','0','0','0','0','20','1',700,'1','2','-6','1'
'11000512','0','0','0','0','0','0','0','21','2',100,'1','2','-6','1'
'11000512','0','0','2','0','0','0','0','22','1',260,'1','1','-6','1'
'11000512','0','0','0','0','0','0','0','23','1',450,'2','-6','3','1'
'11000524','0','0','0','0','0','0','0','02','1',2500,'1','3','-6','1'
'11000549','0','0','0','0','0','0','0','12','2',11000,'1','3','-6','1'
'11000549','0','0','0','0','0','0','0','24','1',200,'1','1','-6','1'
'11000549','0','0','0','0','0','0','0','25','1',2000,'1','1','-6','1'
'11000549','0','0','0','0','0','0','0','30','1',150,'1','2','-6','1'
